drug_a,drug_b,support,n_ab,n_abz,additive_expected,omega_add,omega_add_lower,expected,omega,omega_lower,naive_log2_oe,eras_with_signal,om025_2004-2012,om025_2013-2018,om025_2019-2026
FLUVOXAMINE,HALOPERIDOL,unsupported,211,1,11.09873619000717,-2.950933210575988,-6.748160478937335,41.78405513701066,-4.817079335255691,-8.614306603617038,1.555070793996483,0,-11.281231262477679,-4.435805411451465,-14.231767953902144
DILTIAZEM,HYDROCHLOROTHIAZIDE,plausible,688,1,11.1036644009157,-2.9515460700529412,-6.7487733384142885,22.65835002534547,-3.9484980627330444,-7.745725331094391,1.224276245514682,0,-5.905966662683122,-12.80911071847128,-12.627652053877037
ATORVASTATIN,LEVODOPA,plausible,229,1,11.133634311273688,-2.9552674548454503,-6.752494723206797,13.690419642596522,-3.241882847929794,-7.039110116291141,0.05064368433978001,0,-4.22693600520657,-12.312228577274672,-14.239068427458568
BISOPROLOL,PREGABALIN,unsupported,882,1,11.14737538514084,-2.9569704893516997,-6.7541977577130465,18.3779374391384,-3.653666741870365,-7.450894010231711,0.6185035455566892,0,-11.203560421679008,-11.86267809473246,-6.62628675375199
AMPHETAMINE,DIAZEPAM,unsupported,764,1,11.204657617267397,-2.964048327753691,-6.761275596115038,22.0201640596255,-3.90818293167076,-7.705410200032107,1.2225309436374108,0,-11.416806124877668,-12.377314180825419,-6.495507837042313
METHOTREXATE,SULFAMETHOXAZOLE,unsupported,2570,1,11.256778679026652,-2.9704584145088844,-6.767685682870232,2.877071829357173,-1.170810364663709,-4.968037633025055,-0.14366385648140298,0,-12.366797202380397,-4.668837383518271,-13.261638199827857
HYDROCODONE,NALOXONE,unsupported,3242,1,11.258600900556226,-2.9706820051985843,-6.7679092735599315,4.309832438651607,-1.6810241346177992,-5.478251402979146,0.5740947253194438,0,-10.404227890284034,-10.778465980347239,-7.299584106063463
LANSOPRAZOLE,PRAVASTATIN,plausible,278,1,11.25980085886013,-2.9708292238670575,-6.768056492228404,15.808629724469967,-3.442601163906983,-7.23982843226833,1.3570032917210346,0,-13.12830949546182,-13.20293547958996,-5.111960581545098
HYDROCODONE,PROMETHAZINE,unsupported,1613,1,11.354066679465028,-2.982347672008172,-6.779574940369519,4.334549423202483,-1.6884189370259959,-5.485646205387343,1.032234546125865,0,-12.46472249480652,-12.3466308358992,-6.0049063882715545
ALPRAZOLAM,BUPROPION,unsupported,1380,1,11.480710318205725,-2.9976790400369486,-6.7949063083982955,15.39450345567381,-3.405493541549523,-7.20272080991087,0.6647699305505581,0,-11.962887501105469,-5.319578754827767,-14.005613435650002
FUSIDIC ACID,PREDNISOLONE,plausible,38,1,11.483684207653571,-2.998037105881337,-6.795264374242684,11.969895731643934,-3.055414996136586,-6.852642264497933,1.5562653746185062,0,,-5.548131616979348,-12.86830013954713
ALCOHOL,METHAMPHETAMINE,unsupported,919,1,11.667551381890226,-3.020004461097534,-6.817231729458881,19.26849862176808,-3.720168899569165,-7.517396167930512,1.4781123058561112,0,-11.972673270006759,-12.070063006527924,-6.299522113793451
DILTIAZEM,PRAVASTATIN,known_pair,239,1,11.675252797092918,-3.0209173217367407,-6.818144590098088,37.476211252968056,-4.662061574450699,-8.459288842812047,1.5131256813361726,0,-5.016969013388343,-13.008188500839179,-13.150568489283216
METHAMPHETAMINE,OXYCODONE,unsupported,1450,1,11.801132342533615,-3.035756718654818,-6.832983987016165,9.760460208013532,-2.774061035143237,-6.571288303504584,0.9070939604565003,0,-12.102493303209963,-5.119629723759643,-13.958219150190118
AMOXICILLIN,ERYTHROMYCIN,plausible,771,1,11.886136231928951,-3.045691813253503,-6.84291908161485,17.631220183653056,-3.5954416121148154,-7.392668880476163,1.40964162069006,0,-13.288633333405174,-4.628560216909249,-13.354004673183017
