drug_a,drug_b,rr_a,rr_b,strength,n_ab,n_abz,omega,omega_lower,omega_add,omega_add_lower,signals_additive,signals_multiplicative,at_positive_control_strength
ENTACAPONE,METFORMIN,5.631,3.129,4.139,31,0,-1.689206,-11.681094,-0.995734,-10.987621,0,0,0
ENTACAPONE,MIRTAZAPINE,5.631,6.09,5.1,120,0,-3.99562,-13.987507,-2.659117,-12.651005,0,0,0
ENTACAPONE,OLANZAPINE,5.631,7.085,5.318,20,0,-2.046448,-12.038336,-0.976933,-10.968821,0,0,0
ENTACAPONE,OMEPRAZOLE,5.631,2.41,3.762,48,0,-1.866681,-11.858569,-1.260976,-11.252864,0,0,0
ENTACAPONE,OPICAPONE,5.631,2.812,3.985,55,2,0.350989,-2.237652,0.893482,-1.695158,0,0,0
ENTACAPONE,PAROXETINE,5.631,3.769,4.407,64,0,-2.667211,-12.659099,-1.687705,-11.679593,0,0,0
ENTACAPONE,PERGOLIDE,5.631,2.982,4.07,68,1,-0.357426,-4.154653,-0.065403,-3.86263,0,0,0
ENTACAPONE,PERINDOPRIL,5.631,5.281,4.894,23,0,-1.873892,-11.86578,-0.95761,-10.949498,0,0,0
ENTACAPONE,PIPAMPERONE,5.631,10.138,5.835,30,0,-2.792132,-12.78402,-1.501239,-11.493127,0,0,0
ENTACAPONE,PIRIBEDIL,5.631,7.838,5.464,39,3,0.484204,-1.566239,1.217822,-0.832622,0,0,0
ENTACAPONE,PRAMIPEXOLE,5.631,3.412,4.264,364,3,-1.613031,-3.663474,-0.903885,-2.954329,0,0,0
ENTACAPONE,PREGABALIN,5.631,2.112,3.572,35,0,-1.43625,-11.428138,-0.981995,-10.973883,0,0,0
ENTACAPONE,QUETIAPINE,5.631,5.557,4.968,143,6,-0.437455,-1.813444,0.888854,-0.487135,0,0,0
ENTACAPONE,RASAGILINE,5.631,6.78,5.255,374,13,-0.426841,-1.316465,0.534846,-0.354778,0,0,0
ENTACAPONE,RISPERIDONE,5.631,4.536,4.675,26,0,-1.874145,-11.866033,-0.989102,-10.98099,0,0,0
ENTACAPONE,SAFINAMIDE,5.631,4.05,4.511,29,1,-0.042616,-3.839843,0.556151,-3.241076,0,0,0
ENTACAPONE,SELEGILINE,5.631,2.251,3.664,186,2,-0.652793,-3.241433,-0.331087,-2.919728,0,0,0
ENTACAPONE,SENNA LEAF,5.631,4.349,4.614,23,0,-1.579295,-11.571183,-0.890262,-10.88215,0,0,0
ENTACAPONE,SERTRALINE,5.631,3.896,4.456,45,5,1.156372,-0.371093,2.088893,0.561427,1,0,0
ENTACAPONE,SIMVASTATIN,5.631,48.584,8.096,25,1,-2.780249,-6.577477,-1.114914,-4.912141,0,0,1
ENTACAPONE,SODIUM BICARBONATE,5.631,3.91,4.461,39,0,-2.125568,-12.117455,-1.248828,-11.240716,0,0,0
ENTACAPONE,TRAMADOL,5.631,2.907,4.033,23,5,2.119039,0.591573,2.67998,1.152514,1,1,0
ENTACAPONE,TRIHEXYPHENIDYL,5.631,13.651,6.264,40,3,-0.675218,-2.725661,0.799474,-1.250969,0,0,0
ENTACAPONE,UNSPECIFIED INGREDIENT,5.631,2.492,3.811,30,0,-1.437457,-11.429344,-0.913095,-10.904983,0,0,0
ENTACAPONE,VALPROIC ACID,5.631,4.357,4.617,37,0,-2.193807,-12.185695,-1.247441,-11.239329,0,0,0
ENTACAPONE,VENLAFAXINE,5.631,4.117,4.535,34,0,-2.051171,-12.043059,-1.156432,-11.14832,0,0,0
ENTACAPONE,VILDAGLIPTIN,5.631,3.993,4.491,20,0,-1.469178,-11.461066,-0.776302,-10.76819,0,0,0
ENTACAPONE,ZONISAMIDE,5.631,3.371,4.247,64,2,-0.173137,-2.761778,0.682109,-1.906531,0,0,0
ENTECAVIR,FUROSEMIDE,3.866,5.251,4.344,21,0,-1.441296,-11.433184,-0.76925,-10.761137,0,0,0
ENTECAVIR,IRON,3.866,2.262,3.128,25,0,-0.907228,-10.899116,-0.613299,-10.605186,0,0,0
ENTECAVIR,LOPINAVIR,3.866,3.435,3.731,25,0,-1.22527,-11.217158,-0.723338,-10.715226,0,0,0
ENTECAVIR,METFORMIN,3.866,3.129,3.597,25,0,-1.165118,-11.157006,-0.695424,-10.687311,0,0,0
ENTECAVIR,OLANZAPINE,3.866,7.085,4.776,28,0,-2.016058,-12.007946,-1.105262,-11.09715,0,0,0
ENTECAVIR,SULFAMETHOXAZOLE,3.866,2.12,3.035,71,0,-1.746664,-11.738552,-1.300368,-11.292256,0,0,0
ENTECAVIR,TELBIVUDINE,3.866,46.301,7.484,101,3,-2.449566,-4.500009,-1.620249,-3.670693,0,0,1
ENTECAVIR,TRIMETHOPRIM,3.866,2.136,3.046,70,0,-1.740353,-11.732241,-1.290991,-11.282879,0,0,0
EPERISONE,LOXOPROFEN,2.068,7.925,4.035,29,0,-1.039869,-11.031757,-1.054994,-11.046882,0,0,0
EPERISONE,PREGABALIN,2.068,2.112,2.127,35,1,0.958257,-2.83897,1.039092,-2.758136,0,0,0
EPERISONE,REBAMIPIDE,2.068,9.642,4.318,26,0,-1.064707,-11.056595,-1.104767,-11.096655,0,0,0
EPERISONE,TRAMADOL,2.068,2.907,2.588,26,0,-0.618596,-10.610484,-0.513129,-10.505017,0,0,0
EPHEDRINE,FLUOXETINE,9.704,4.532,5.459,35,0,-2.728219,-12.720107,-1.543117,-11.535005,0,0,0
EPHEDRINE,FUROSEMIDE,9.704,5.251,5.671,32,0,-2.785638,-12.777526,-1.508534,-11.500422,0,0,0
EPHEDRINE,GENTAMICIN,9.704,2.045,4.311,34,0,-1.84953,-11.841418,-1.327745,-11.319633,0,0,0
EPHEDRINE,HERBALS,9.704,7.674,6.219,39,10,1.025143,-0.004999,2.528632,1.49849,1,0,0
EPHEDRINE,HETASTARCH,9.704,5.378,5.706,32,0,-1.876729,-11.868617,-1.517019,-11.508907,0,0,0
EPHEDRINE,HYDROXYZINE,9.704,4.495,5.447,32,0,-2.603066,-12.594954,-1.456906,-11.448794,0,0,0
EPHEDRINE,ISOFLURANE,9.704,12.319,6.901,26,0,-3.293052,-13.28494,-1.704252,-11.69614,0,0,1
EPHEDRINE,KETAMINE,9.704,4.612,5.484,160,4,-1.206714,-2.943471,-0.123415,-1.860172,0,0,0
EPHEDRINE,KETOPROFEN,9.704,3.388,5.039,83,3,-0.511496,-2.561939,0.443589,-1.606855,0,0,0
EPHEDRINE,LORAZEPAM,9.704,5.21,5.66,24,0,-2.445248,-12.437136,-1.25089,-11.242778,0,0,0
EPHEDRINE,METFORMIN,9.704,3.129,4.924,30,0,-2.184658,-12.176546,-1.302671,-11.294559,0,0,0
EPHEDRINE,METHAMPHETAMINE,9.704,3.939,5.256,45,1,-1.253863,-5.05109,-0.15959,-3.956817,0,0,0
EPHEDRINE,MIDAZOLAM,9.704,7.868,6.255,134,0,-4.720041,-14.711929,-3.347101,-13.338988,0,0,0
EPHEDRINE,NEFOPAM,9.704,4.579,5.474,121,3,-1.122188,-3.172632,-0.126499,-2.176942,0,0,0
EPHEDRINE,NEOSTIGMINE,9.704,3.516,5.092,22,0,-1.613957,-11.605845,-1.077819,-11.069707,0,0,0
EPHEDRINE,NOREPINEPHRINE,9.704,13.03,6.982,89,3,-1.911533,-3.961976,-0.361406,-2.41185,0,0,1
EPHEDRINE,NORTRIPTYLINE,9.704,3.01,4.868,23,0,-1.824397,-11.816285,-1.07946,-11.071348,0,0,0
EPHEDRINE,OLANZAPINE,9.704,7.085,6.103,21,0,-2.620997,-12.612884,-1.244929,-11.236817,0,0,0
EPHEDRINE,OMEPRAZOLE,9.704,2.41,4.547,33,0,-2.01591,-12.007798,-1.33082,-11.322708,0,0,0
EPHEDRINE,PHENYLPROPANOLAMINE,9.704,2.712,4.718,29,1,-0.125638,-3.922866,0.341345,-3.455882,0,0,0
EPHEDRINE,PHLOROGLUCINOL,9.704,2.894,4.812,24,0,-1.728967,-11.720855,-1.104441,-11.096329,0,0,0
EPHEDRINE,PREGABALIN,9.704,2.112,4.357,44,0,-2.193178,-12.185066,-1.568699,-11.560586,0,0,0
EPHEDRINE,PROMETHAZINE,9.704,3.407,5.047,32,4,0.856131,-0.880626,1.790647,0.053889,1,0,0
EPHEDRINE,PROPOFOL,9.704,16.555,7.328,478,11,-1.34216,-2.318697,-1.14579,-2.122328,0,0,1
EPHEDRINE,QUETIAPINE,9.704,5.557,5.753,35,0,-2.964196,-12.956084,-1.614722,-11.60661,0,0,0
EPHEDRINE,ROCURONIUM,9.704,7.384,6.163,130,1,-3.019706,-6.816934,-1.684335,-5.481562,0,0,0
EPHEDRINE,SERTRALINE,9.704,3.896,5.241,26,1,-0.6598,-4.457028,0.350044,-3.447183,0,0,0
EPHEDRINE,SEVOFLURANE,9.704,15.602,7.242,112,3,-2.252165,-4.302609,-0.807198,-2.857641,0,0,1
EPHEDRINE,SUCCINYLCHOLINE,9.704,21.597,7.711,63,7,-0.871272,-2.131507,0.75501,-0.505226,0,0,1
EPHEDRINE,SUFENTANIL,9.704,4.911,5.574,268,4,-1.649919,-3.386676,-0.836983,-2.57374,0,0,0
EPHEDRINE,THEOPHYLLINE,9.704,7.874,6.256,32,11,1.379815,0.403277,2.849095,1.872557,1,1,0
EPHEDRINE,THIOPENTAL,9.704,5.796,5.814,21,0,-2.299335,-12.291223,-1.175211,-11.167099,0,0,0
EPHEDRINE,TRAMADOL,9.704,2.907,4.818,80,7,0.685219,-0.575017,1.63239,0.372155,1,0,0
EPHEDRINE,TRANEXAMIC ACID,9.704,2.236,4.439,40,3,0.752653,-1.29779,1.317727,-0.732716,0,0,0
EPHEDRINE,UNSPECIFIED INGREDIENT,9.704,2.492,4.596,29,0,-1.908329,-11.900217,-1.227521,-11.219409,0,0,0
EPHEDRINE,VENLAFAXINE,9.704,4.117,5.32,27,0,-2.340738,-12.332626,-1.281168,-11.273056,0,0,0
EPHEDRINE,VERAPAMIL,9.704,5.695,5.788,23,0,-2.475293,-12.46718,-1.243964,-11.235852,0,0,0
EPHEDRINE,ZOPICLONE,9.704,8.45,6.358,33,11,1.234726,0.258188,2.784072,1.807534,1,1,0
ERGOTAMINE,LOPINAVIR,4.492,3.435,3.948,26,4,1.891713,0.154956,2.367321,0.630564,1,1,0
ERGOTAMINE,TRAMADOL,4.492,2.907,3.707,28,0,-1.226534,-11.218422,-0.799423,-10.791311,0,0,0
ERTUGLIFLOZIN,METFORMIN,4.4,3.129,3.783,20,1,0.71881,-3.078418,0.962413,-2.834814,0,0,0
ERYTHROMYCIN,ERYTHROMYCIN ETHYLSUCCINATE,6.548,10.136,6.053,21,0,-2.361749,-12.353637,-1.239421,-11.231309,0,0,0
ERYTHROMYCIN,ESCITALOPRAM,6.548,4.024,4.72,38,0,-2.31254,-12.304428,-1.323697,-11.315585,0,0,0
ERYTHROMYCIN,FAMOTIDINE,6.548,4.535,4.892,32,0,-2.234858,-12.226746,-1.222344,-11.214232,0,0,0
ERYTHROMYCIN,FLUCLOXACILLIN,6.548,4.246,4.797,48,2,-0.197422,-2.786062,0.764848,-1.823792,0,0,0
ERYTHROMYCIN,FLUOXETINE,6.548,4.532,4.891,55,0,-2.884685,-12.876573,-1.718511,-11.710399,0,0,0
ERYTHROMYCIN,FUROSEMIDE,6.548,5.251,5.104,87,3,-0.832516,-2.882959,0.519792,-1.530651,0,0,0
ERYTHROMYCIN,FUSIDIC ACID,6.548,146.15,9.902,48,1,-4.434663,-8.23189,-3.373356,-7.170583,0,0,1
ERYTHROMYCIN,GENTAMICIN,6.548,2.045,3.743,70,0,-2.217905,-12.209793,-1.676418,-11.668306,0,0,0
ERYTHROMYCIN,HALOPERIDOL,6.548,10.211,6.063,54,4,-0.635844,-2.372601,0.994733,-0.742024,0,0,0
ERYTHROMYCIN,HYDROCHLOROTHIAZIDE,6.548,3.187,4.383,72,1,-1.221396,-5.018623,-0.262636,-4.059864,0,0,0
ERYTHROMYCIN,HYDROXYZINE,6.548,4.495,4.879,51,0,-2.766878,-12.758766,-1.639896,-11.631783,0,0,0
ERYTHROMYCIN,INFLUENZA VIRUS VACCINE,6.548,22.048,7.174,20,0,-3.354664,-13.346552,-1.713995,-11.705882,0,0,1
ERYTHROMYCIN,INSULIN NOS,6.548,5.669,5.214,40,0,-2.727323,-12.719211,-1.513065,-11.504953,0,0,0
ERYTHROMYCIN,KETAMINE,6.548,4.612,4.917,31,0,-2.209373,-12.201261,-1.2026,-11.194488,0,0,0
ERYTHROMYCIN,KETOROLAC,6.548,2.719,4.154,87,0,-2.780412,-12.7723,-1.989869,-11.981756,0,0,0
ERYTHROMYCIN,LAMOTRIGINE,6.548,2.679,4.133,28,0,-1.582128,-11.574015,-0.96485,-10.956738,0,0,0
ERYTHROMYCIN,LEVETIRACETAM,6.548,8.338,5.771,39,1,-1.602229,-5.399456,-0.110045,-3.907272,0,0,0
ERYTHROMYCIN,LEVOFLOXACIN,6.548,3.014,4.303,411,2,-2.606967,-5.195607,-1.636141,-4.224781,0,0,0
ERYTHROMYCIN,LINEZOLID,6.548,2.432,3.993,84,0,-2.654412,-12.646299,-1.914569,-11.906456,0,0,0
ERYTHROMYCIN,LISINOPRIL,6.548,2.046,3.744,107,0,-2.756206,-12.748094,-2.123538,-12.115425,0,0,0
ERYTHROMYCIN,LORAZEPAM,6.548,5.21,5.092,34,2,-0.147083,-2.735723,0.993366,-1.595275,0,0,0
ERYTHROMYCIN,LOSARTAN,6.548,3.581,4.552,33,0,-2.029402,-12.02129,-1.166652,-11.15854,0,0,0
ERYTHROMYCIN,MELOXICAM,6.548,2.117,3.793,38,0,-1.637063,-11.628951,-1.139898,-11.131785,0,0,0
ERYTHROMYCIN,MEPERIDINE,6.548,3.26,4.416,268,0,-4.283949,-14.275837,-3.426836,-13.418724,0,0,0
ERYTHROMYCIN,MEROPENEM,6.548,2.368,3.955,152,10,1.07019,0.040048,1.814055,0.783913,1,1,0
ERYTHROMYCIN,METFORMIN,6.548,3.129,4.357,67,0,-2.70894,-12.700828,-1.766548,-11.758436,0,0,0
ERYTHROMYCIN,METHADONE,6.548,3.42,4.485,26,0,-1.73698,-11.728868,-0.97346,-10.965348,0,0,0
ERYTHROMYCIN,MIDAZOLAM,6.548,7.868,5.687,68,3,-0.970482,-3.020926,0.553406,-1.497037,0,0,0
ERYTHROMYCIN,MIRTAZAPINE,6.548,6.09,5.318,53,0,-3.18234,-13.174228,-1.827381,-11.819269,0,0,0
ERYTHROMYCIN,NEFOPAM,6.548,4.579,4.906,29,0,-2.095683,-12.08757,-1.146424,-11.138312,0,0,0
ERYTHROMYCIN,NIFEDIPINE,6.548,3.343,4.452,40,1,-0.567731,-4.364958,0.280658,-3.516569,0,0,0
ERYTHROMYCIN,NOREPINEPHRINE,6.548,13.03,6.415,32,0,-3.388369,-13.380257,-1.789338,-11.781226,0,0,1
ERYTHROMYCIN,NORFLOXACIN,6.548,16.511,6.756,105,0,-4.786293,-14.778181,-3.402043,-13.393931,0,0,1
ERYTHROMYCIN,NORTRIPTYLINE,6.548,3.01,4.301,27,0,-1.629917,-11.621804,-0.967031,-10.958919,0,0,0
ERYTHROMYCIN,NYSTATIN,6.548,2.408,3.979,20,10,3.236337,2.206195,3.663278,2.633136,1,1,0
ERYTHROMYCIN,OFLOXACIN,6.548,3.227,4.401,44,0,-2.183907,-12.175794,-1.375975,-11.367863,0,0,0
ERYTHROMYCIN,OLANZAPINE,6.548,7.085,5.536,24,3,0.39216,-1.658283,1.635592,-0.414852,0,0,0
ERYTHROMYCIN,OMEPRAZOLE,6.548,2.41,3.98,134,0,-3.241511,-13.233398,-2.434697,-12.426585,0,0,0
ERYTHROMYCIN,PAROXETINE,6.548,3.769,4.625,122,0,-3.660377,-13.652265,-2.510171,-12.502059,0,0,0
ERYTHROMYCIN,PERINDOPRIL,6.548,5.281,5.112,23,0,-2.030349,-12.022237,-1.020938,-11.012826,0,0,0
ERYTHROMYCIN,PHENOBARBITAL,6.548,3.798,4.636,27,0,-1.863107,-11.854995,-1.030535,-11.022423,0,0,0
ERYTHROMYCIN,PHENYTOIN,6.548,2.363,3.952,66,0,-2.344425,-12.336313,-1.658798,-11.650686,0,0,0
ERYTHROMYCIN,PIPERACILLIN,6.548,2.854,4.224,148,0,-3.538379,-13.530267,-2.617843,-12.609731,0,0,0
ERYTHROMYCIN,PIROXICAM,6.548,4.877,4.997,26,0,-2.034326,-12.026213,-1.084077,-11.075965,0,0,0
ERYTHROMYCIN,PREGABALIN,6.548,2.112,3.789,222,0,-3.727207,-13.719095,-3.004804,-12.996692,0,0,0
ERYTHROMYCIN,PROMETHAZINE,6.548,3.407,4.48,59,0,-2.619009,-12.610897,-1.670513,-11.6624,0,0,0
ERYTHROMYCIN,QUETIAPINE,6.548,5.557,5.186,147,3,-1.59479,-3.645233,-0.146087,-2.196531,0,0,0
ERYTHROMYCIN,RAMIPRIL,6.548,4.296,4.814,29,0,-2.080912,-12.0728,-1.124132,-11.11602,0,0,0
ERYTHROMYCIN,RIFAMPIN,6.548,2.819,4.207,53,0,-2.287608,-12.279496,-1.502122,-11.49401,0,0,0
ERYTHROMYCIN,RISPERIDONE,6.548,4.536,4.893,35,0,-2.364446,-12.356334,-1.297783,-11.289671,0,0,0
ERYTHROMYCIN,SERTRALINE,6.548,3.896,4.673,88,0,-3.295652,-13.287539,-2.148706,-12.140594,0,0,0
ERYTHROMYCIN,SODIUM BICARBONATE,6.548,3.91,4.678,20,0,-1.598035,-11.589923,-0.833229,-10.825117,0,0,0
ERYTHROMYCIN,SPIRONOLACTONE,6.548,4.424,4.857,50,0,-2.733853,-12.725741,-1.613721,-11.605609,0,0,0
ERYTHROMYCIN,SUFENTANIL,6.548,4.911,5.007,28,1,-0.564138,-4.361365,0.440845,-3.356382,0,0,0
ERYTHROMYCIN,SULFAMETHOXAZOLE,6.548,2.12,3.795,428,0,-4.534804,-14.526692,-3.864125,-13.856012,0,0,0
ERYTHROMYCIN,TAZOBACTAM,6.548,2.627,4.104,146,0,-3.42045,-13.412338,-2.568532,-12.56042,0,0,0
ERYTHROMYCIN,TELMISARTAN,6.548,5.081,5.056,20,0,-1.846806,-11.838694,-0.909523,-10.901411,0,0,0
ERYTHROMYCIN,TERBINAFINE,6.548,5.915,5.275,20,0,-1.995443,-11.987331,-0.96152,-10.953408,0,0,0
ERYTHROMYCIN,TRAMADOL,6.548,2.907,4.251,179,0,-3.84173,-13.833618,-2.858837,-12.850725,0,0,0
ERYTHROMYCIN,TRAZODONE,6.548,4.253,4.8,31,0,-2.138807,-12.130695,-1.173456,-11.165344,0,0,0
ERYTHROMYCIN,TRIMETHOPRIM,6.548,2.136,3.806,444,0,-4.594294,-14.586182,-3.916319,-13.908207,0,0,0
ERYTHROMYCIN,UNSPECIFIED INGREDIENT,6.548,2.492,4.029,94,0,-2.832291,-12.824179,-2.043748,-12.035636,0,0,0
ERYTHROMYCIN,VENLAFAXINE,6.548,4.117,4.753,81,0,-3.255552,-13.24744,-2.082346,-12.074234,0,0,0
ERYTHROMYCIN,ZOLPIDEM,6.548,4.117,4.753,26,0,-1.921069,-11.912957,-1.027407,-11.019295,0,0,0
ESCITALOPRAM,ETHYL LOFLAZEPATE,4.024,10.298,5.373,22,0,-2.030312,-12.0222,-1.144748,-11.136636,0,0,0
ESCITALOPRAM,ETIZOLAM,4.024,19.239,6.275,26,0,-3.039069,-13.030957,-1.762065,-11.753953,0,0,0
ESCITALOPRAM,EZETIMIBE,4.024,25.66,6.69,118,1,-3.85572,-7.652948,-2.320626,-6.117853,0,0,1
ESCITALOPRAM,FAMOTIDINE,4.024,4.535,4.19,42,0,-2.030614,-12.022501,-1.209019,-11.200907,0,0,0
ESCITALOPRAM,FENOFIBRATE,4.024,26.664,6.745,115,0,-5.408007,-15.399895,-3.917227,-13.909115,0,0,1
ESCITALOPRAM,FERROUS FUMARATE,4.024,9.656,5.28,45,0,-2.852266,-12.844154,-1.747524,-11.739412,0,0,0
ESCITALOPRAM,FERROUS GLUCONATE,4.024,2.907,3.548,27,0,-1.032518,-11.024406,-0.732667,-10.724555,0,0,0
ESCITALOPRAM,FERROUS SULFATE,4.024,2.319,3.222,158,2,-0.344744,-2.933385,0.155723,-2.432918,0,0,0
ESCITALOPRAM,FLUCONAZOLE,4.024,6.518,4.713,55,3,0.05486,-1.995583,1.14353,-0.906913,0,0,0
ESCITALOPRAM,FLUINDIONE,4.024,4.551,4.195,211,1,-2.308596,-6.105823,-1.341885,-5.139112,0,0,0
ESCITALOPRAM,FLUNITRAZEPAM,4.024,29.633,6.898,52,4,-1.223833,-2.960591,0.16684,-1.569917,0,0,1
ESCITALOPRAM,FLUOXETINE,4.024,4.532,4.189,1261,15,-1.386408,-2.208131,-0.3811,-1.202823,0,0,0
ESCITALOPRAM,FLUPENTIXOL,4.024,5.247,4.4,37,0,-1.979302,-11.97119,-1.179198,-11.171086,0,0,0
ESCITALOPRAM,FLURAZEPAM,4.024,9.46,5.251,38,2,-0.340968,-2.929609,0.756168,-1.832473,0,0,0
ESCITALOPRAM,FLUVOXAMINE,4.024,16.248,6.031,139,0,-4.989718,-14.981605,-3.593284,-13.585172,0,0,0
ESCITALOPRAM,FUROSEMIDE,4.024,5.251,4.401,720,6,-2.144315,-3.520304,-0.978717,-2.354706,0,0,0
ESCITALOPRAM,GALANTAMINE,4.024,4.689,4.238,52,0,-2.268589,-12.260477,-1.409967,-11.401855,0,0,0
ESCITALOPRAM,GEMFIBROZIL,4.024,89.238,8.488,22,0,-4.439238,-14.431126,-3.230726,-13.222614,0,0,1
ESCITALOPRAM,GLICLAZIDE,4.024,4.836,4.282,74,0,-2.724638,-12.716526,-1.76698,-11.758867,0,0,0
ESCITALOPRAM,GLIMEPIRIDE,4.024,2.803,3.496,39,1,0.106191,-3.691036,0.629565,-3.167662,0,0,0
ESCITALOPRAM,GLYBURIDE,4.024,3.454,3.797,71,0,-2.288853,-12.28074,-1.53635,-11.528238,0,0,0
ESCITALOPRAM,HALOPERIDOL,4.024,10.211,5.361,451,10,-1.64793,-2.678073,-0.289393,-1.319535,0,0,0
ESCITALOPRAM,HERBALS,4.024,7.674,4.949,93,2,-1.261784,-3.850425,-0.031738,-2.620379,0,0,0
ESCITALOPRAM,HYDROCHLOROTHIAZIDE,4.024,3.187,3.681,782,14,-0.453898,-1.30764,0.460779,-0.392964,0,0,0
ESCITALOPRAM,HYDROXYZINE,4.024,4.495,4.177,606,0,-5.320749,-15.312637,-4.309405,-14.301292,0,0,0
ESCITALOPRAM,IMIPRAMINE,4.024,5.25,4.401,48,1,-0.684057,-4.481284,0.183815,-3.613412,0,0,0
ESCITALOPRAM,INDAPAMIDE,4.024,8.188,5.042,155,1,-2.725601,-6.522828,-1.447349,-5.244576,0,0,0
ESCITALOPRAM,INFLUENZA VIRUS VACCINE,4.024,22.048,6.471,22,0,-3.005444,-12.997332,-1.713375,-11.705262,0,0,1
ESCITALOPRAM,INSULIN NOS,4.024,5.669,4.512,48,0,-2.416553,-12.408441,-1.445891,-11.437779,0,0,0
ESCITALOPRAM,IRBESARTAN,4.024,4.805,4.273,353,7,-0.825721,-2.085956,0.272355,-0.987881,0,0,0
ESCITALOPRAM,IRON,4.024,2.262,3.186,67,0,-1.753936,-11.745824,-1.300639,-11.292527,0,0,0
ESCITALOPRAM,ISOSORBIDE DINITRATE,4.024,3.484,3.809,20,0,-1.075726,-11.067613,-0.620921,-10.612809,0,0,0
ESCITALOPRAM,ISOSORBIDE MONONITRATE,4.024,3.216,3.694,24,0,-1.169326,-11.161214,-0.694993,-10.68688,0,0,0
ESCITALOPRAM,KETAMINE,4.024,4.612,4.214,56,0,-2.360042,-12.35193,-1.468346,-11.460234,0,0,0
ESCITALOPRAM,KETOPROFEN,4.024,3.388,3.769,63,3,0.669493,-1.38095,1.39092,-0.659523,0,0,0
ESCITALOPRAM,LAMOTRIGINE,4.024,2.679,3.43,1290,54,1.03385,0.623212,1.79559,1.384952,1,1,0
ESCITALOPRAM,LERCANIDIPINE,4.024,7.594,4.934,49,0,-2.75724,-12.749128,-1.655349,-11.647237,0,0,0
ESCITALOPRAM,LEVETIRACETAM,4.024,8.338,5.068,290,2,-2.943284,-5.531925,-1.547451,-4.136092,0,0,0
ESCITALOPRAM,LEVOFLOXACIN,4.024,3.014,3.6,175,1,-1.67813,-5.475357,-0.838969,-4.636196,0,0,0
ESCITALOPRAM,LEVOMEPROMAZINE,4.024,10.622,5.418,177,0,-4.741098,-14.732986,-3.456926,-13.448814,0,0,0
ESCITALOPRAM,LINEZOLID,4.024,2.432,3.291,111,1,-0.848968,-4.646196,-0.223444,-4.020671,0,0,0
ESCITALOPRAM,LISDEXAMFETAMINE,4.024,2.768,3.477,25,0,-1.055728,-11.047616,-0.676574,-10.668462,0,0,0
ESCITALOPRAM,LISINOPRIL,4.024,2.046,3.041,340,3,-0.811111,-2.861554,-0.214582,-2.265026,0,0,0
ESCITALOPRAM,LITHIUM,4.024,5.599,4.494,613,36,0.541793,0.031865,1.676156,1.166228,1,1,0
ESCITALOPRAM,LOPRAZOLAM,4.024,27.695,6.8,40,5,-0.312319,-1.839785,0.855957,-0.671508,0,0,1
ESCITALOPRAM,LORAZEPAM,4.024,5.21,4.39,1418,6,-2.940413,-4.316402,-1.921569,-3.297558,0,0,0
ESCITALOPRAM,LORMETAZEPAM,4.024,12.872,5.695,196,3,-2.276795,-4.327239,-0.986963,-3.037406,0,0,0
ESCITALOPRAM,LOSARTAN,4.024,3.581,3.849,276,0,-4.059088,-14.050976,-3.093054,-13.084942,0,0,0
ESCITALOPRAM,LOVASTATIN,4.024,35.045,7.14,22,0,-3.509634,-13.501522,-2.157289,-12.149177,0,0,1
ESCITALOPRAM,LOXAPINE,4.024,19.648,6.305,112,0,-4.959799,-14.951687,-3.522669,-13.514557,0,0,0
ESCITALOPRAM,MAGNESIUM,4.024,3.415,3.781,48,0,-1.83954,-11.831428,-1.18723,-11.179118,0,0,0
ESCITALOPRAM,MAGNESIUM CARBONATE,4.024,2.204,3.149,22,0,-0.825232,-10.81712,-0.561004,-10.552892,0,0,0
ESCITALOPRAM,MAGNESIUM OXIDE,4.024,3.666,3.883,24,0,-1.27384,-11.265727,-0.734162,-10.72605,0,0,0
ESCITALOPRAM,MECLIZINE,4.024,3.143,3.661,34,0,-1.408153,-11.400041,-0.900268,-10.892155,0,0,0
ESCITALOPRAM,MELATONIN,4.024,2.827,3.508,123,0,-2.627347,-12.619235,-1.990551,-11.982439,0,0,0
ESCITALOPRAM,MELOXICAM,4.024,2.117,3.091,153,0,-2.623402,-12.61529,-2.087591,-12.079479,0,0,0
ESCITALOPRAM,MELPERONE,4.024,13.095,5.72,43,0,-3.129629,-13.121517,-1.950153,-11.942041,0,0,0
ESCITALOPRAM,MEMANTINE,4.024,2.99,3.589,191,6,0.385882,-0.990107,1.177713,-0.198276,0,0,0
ESCITALOPRAM,MEPERIDINE,4.024,3.26,3.713,40,0,-1.637548,-11.629436,-1.027598,-11.019486,0,0,0
ESCITALOPRAM,MEPROBAMATE,4.024,5.879,4.564,45,5,1.155544,-0.371922,2.050489,0.523024,1,0,0
ESCITALOPRAM,METFORMIN,4.024,3.129,3.654,762,1,-3.695308,-7.492536,-2.763726,-6.560953,0,0,0
ESCITALOPRAM,METHADONE,4.024,3.42,3.783,261,5,-0.472138,-1.999603,0.468464,-1.059001,0,0,0
ESCITALOPRAM,METHAMPHETAMINE,4.024,3.939,3.987,54,0,-2.150092,-12.14198,-1.352617,-11.344504,0,0,0
ESCITALOPRAM,METHOCARBAMOL,4.024,2.141,3.107,79,0,-1.840123,-11.832011,-1.425469,-11.417357,0,0,0
ESCITALOPRAM,METHYLENE BLUE,4.024,26.474,6.735,50,1,-2.618412,-6.41564,-1.241765,-5.038992,0,0,1
