drug_a,drug_b,stratum,rr_a,rr_b,n_ab,n_abz,additive_expected,omega_add,omega_add_lower,expected,omega,omega_lower
ASPIRIN,GOLIMUMAB,easy,1.408142556196669,0.10354436500552888,134,0,0.3898549577898561,-0.8316421077873004,-10.823529923594164,0.04041072070111159,-0.11212820033306871,-10.104016016139932
ASPIRIN,GUAIFENESIN,easy,1.408142556196669,0.22694394062277917,519,0,1.5099606200965323,-2.007167235857939,-11.999055051664802,0.34116406682675143,-0.7504591268916655,-10.742346942698529
ASPIRIN,HUMAN IMMUNOGLOBULIN G,easy,1.408142556196669,0.17875692819872901,753,0,2.1907521135504604,-2.4280094883309538,-12.419897304137816,0.39188866178308013,-0.8349355288020823,-10.826823344608945
ASPIRIN,HYDROCORTISONE,easy,1.408142556196669,1.7761224365147361,342,1,1.543416258581915,-0.4460206206388416,-4.243247889000188,1.7605762147702324,-0.5917280578636238,-4.388955326224971
ASPIRIN,HYDROXYCHLOROQUINE,easy,1.408142556196669,0.5784832718265841,1326,0,3.8578184629055916,-3.1236060982158875,-13.11549391402275,2.22345874050298,-2.4454400109923355,-12.437327826799198
ASPIRIN,IBANDRONATE,easy,1.408142556196669,0.2335585302157994,61,0,0.17747128675508378,-0.4382317071748934,-10.430119522981757,0.04154430271850556,-0.11515127193574877,-10.107039087742612
ASPIRIN,IBRUTINIB,easy,1.408142556196669,0.29677186611975487,315,0,0.916450087341826,-1.502279765137736,-11.494167580944598,0.2722276878728447,-0.6270981874948813,-10.618986003301744
ASPIRIN,IMATINIB,easy,1.408142556196669,0.691148110223687,80,2,0.2327492285312574,1.7705366457882126,-0.8181037326190643,0.1612289942352349,1.9187062030115942,-0.6699341753956825
ASPIRIN,INFLIXIMAB,easy,1.408142556196669,0.2288573017109211,319,0,0.9280875487683888,-1.514084426357431,-11.505972242164294,0.21183499732452127,-0.5096147697183165,-10.501502585525179
ASPIRIN,INSULIN ASPART,easy,1.408142556196669,0.7411222222137759,354,2,1.029915336250814,0.7084762768391637,-1.8801641015681132,0.7622824906101431,0.985893282668584,-1.6027470957386931
ASPIRIN,INSULIN GLARGINE,easy,1.408142556196669,0.32724791428217986,649,14,1.8881781164598257,2.602070554609278,1.7483277095974215,0.6179975876276416,3.697063919935193,2.8433210749233364
ASPIRIN,INSULIN HUMAN,easy,1.408142556196669,0.5146585147226285,224,0,0.6516978398875207,-1.2037622601173938,-11.195650075924256,0.33574251194114435,-0.7411304288006374,-10.7330182446075
ASPIRIN,INSULIN LISPRO,easy,1.408142556196669,0.14276448870922293,332,1,0.9659092984047182,0.03316665972547517,-3.764060608635872,0.1379550314672197,1.2334358615332455,-2.5637914068281016
ASPIRIN,INTERFERON BETA 1A,easy,1.408142556196669,0.17817932256721294,83,0,0.24147732460117954,-0.5684744788638337,-10.560362294670696,0.04292121098817851,-0.11881475366888597,-10.110702569475748
ASPIRIN,IPRATROPIUM,easy,1.408142556196669,0.30034337087570656,334,3,0.9717280291179996,1.249843831705467,-0.8005995241364506,0.29140586079056874,2.144865267653836,0.09442191181191817
