drug_a,drug_b
DILTIAZEM,RIFAMPIN
DILTIAZEM,SIMVASTATIN
DIVALPROEX,VALPROATE
ABACAVIR,DOLUTEGRAVIR
DONEPEZIL,SUCCINYLCHOLINE
CYCLOPHOSPHAMIDE,DOXORUBICIN
DOXORUBICIN,TRASTUZUMAB
AMOXAPINE,DRONABINOL
ATROPINE,DRONABINOL
BUSPIRONE,DRONABINOL
DRONABINOL,LITHIUM
ATORVASTATIN,ELVITEGRAVIR
BUPRENORPHINE,ELVITEGRAVIR
COBICISTAT,ELVITEGRAVIR
CYCLOSPORINE,ELVITEGRAVIR
ELVITEGRAVIR,EMTRICITABINE
ELVITEGRAVIR,FENTANYL
ELVITEGRAVIR,LOVASTATIN
ELVITEGRAVIR,NALOXONE
ELVITEGRAVIR,SIMVASTATIN
ELVITEGRAVIR,SIROLIMUS
ELVITEGRAVIR,TACROLIMUS
EMPAGLIFLOZIN,METFORMIN
EPINEPHRINE,IMIPRAMINE
ALCOHOL,EZETIMIBE
AMIODARONE,EZETIMIBE
AMLODIPINE,EZETIMIBE
CALCIUM,EZETIMIBE
CHOLESTYRAMINE,EZETIMIBE
CLARITHROMYCIN,EZETIMIBE
COBICISTAT,EZETIMIBE
COLCHICINE,EZETIMIBE
CYCLOSPORINE,EZETIMIBE
DANAZOL,EZETIMIBE
DAPTOMYCIN,EZETIMIBE
DIGOXIN,EZETIMIBE
DILTIAZEM,EZETIMIBE
DRONEDARONE,EZETIMIBE
ERYTHROMYCIN,EZETIMIBE
EZETIMIBE,FENOFIBRATE
EZETIMIBE,FENOFIBRIC ACID
EZETIMIBE,GEMFIBROZIL
EZETIMIBE,ITRACONAZOLE
EZETIMIBE,KETOCONAZOLE
EZETIMIBE,NEFAZODONE
EZETIMIBE,NIACIN
EZETIMIBE,POSACONAZOLE
EZETIMIBE,RANOLAZINE
EZETIMIBE,SIMVASTATIN
EZETIMIBE,TELAPREVIR
EZETIMIBE,TELITHROMYCIN
EZETIMIBE,VERAPAMIL
EZETIMIBE,VORICONAZOLE
EZETIMIBE,WARFARIN
FENOFIBRATE,FENOFIBRIC ACID
FENOFIBRATE,GEMFIBROZIL
CYCLOSPORINE,FENOFIBRIC ACID
FENOFIBRIC ACID,GEMFIBROZIL
FENOFIBRIC ACID,TACROLIMUS
ALCOHOL,FENTANYL
BENZODIAZEPINE,FENTANYL
BUPRENORPHINE,FENTANYL
CYCLOBENZAPRINE,FENTANYL
EPINEPHRINE,FENTANYL
FENTANYL,LINEZOLID
FENTANYL,METHYLENE BLUE
FENTANYL,MIRTAZAPINE
FENTANYL,NOREPINEPHRINE
FENTANYL,TRAMADOL
FENTANYL,TRAZODONE
ATORVASTATIN,FLUCONAZOLE
CYCLOSPORINE,FLUCONAZOLE
FENTANYL,FLUCONAZOLE
FLUCONAZOLE,FLUVASTATIN
FLUCONAZOLE,HYDROCHLOROTHIAZIDE
FLUCONAZOLE,IBRUTINIB
FLUCONAZOLE,SIMVASTATIN
ALCOHOL,FLURAZEPAM
CYCLOSPORINE,FLUVASTATIN
ERYTHROMYCIN,FLUVASTATIN
FLUVASTATIN,GEMFIBROZIL
FLUVASTATIN,GLYBURIDE
FLUVASTATIN,NIACIN
FLUVASTATIN,PHENYTOIN
FLUVASTATIN,WARFARIN
ETHINYL ESTRADIOL,FOSAMPRENAVIR
FENTANYL,FOSAMPRENAVIR
FLUTICASONE,FOSAMPRENAVIR
FOSAMPRENAVIR,LOVASTATIN
FOSAMPRENAVIR,METHADONE
FOSAMPRENAVIR,RITONAVIR
FOSAMPRENAVIR,SIMVASTATIN
FOSPHENYTOIN,PHENYTOIN
CISPLATIN,FUROSEMIDE
FUROSEMIDE,LITHIUM
FUROSEMIDE,SUCCINYLCHOLINE
BUPRENORPHINE,GLECAPREVIR
CYCLOSPORINE,GLECAPREVIR
DARUNAVIR,GLECAPREVIR
EFAVIRENZ,GLECAPREVIR
FLUVASTATIN,GLECAPREVIR
GLECAPREVIR,LOPINAVIR
GLECAPREVIR,LOVASTATIN
GLECAPREVIR,METHADONE
GLECAPREVIR,NALOXONE
GLECAPREVIR,PIBRENTASVIR
GLECAPREVIR,PITAVASTATIN
GLECAPREVIR,PRAVASTATIN
GLECAPREVIR,RITONAVIR
GLECAPREVIR,ROSUVASTATIN
GLECAPREVIR,SIMVASTATIN
