drug_a,drug_b,mechanism,expected_strength,n_ab,n_abz,expected,omega,omega_lower,additive_expected,omega_add,omega_add_lower,naive_log2_oe,rr_a,rr_b,signal,signal_multiplicative,tier,policy
COLCHICINE,ATORVASTATIN,CYP3A4 + P-gp,probable,524,209,299.59,-0.518,-0.721,150.44,0.473,0.271,7.134,6.279,11.985,True,False,broad,primary
SIMVASTATIN,AMIODARONE,CYP3A4 inhibition,established,5083,229,321.06,-0.487,-0.68,155.53,0.557,0.364,6.508,11.491,4.372,True,False,core,sensitivity
SIMVASTATIN,CLARITHROMYCIN,CYP3A4 inhibition,established,1463,321,204.5,0.649,0.487,56.11,2.506,2.344,7.691,11.491,8.138,True,True,core,sensitivity
SIMVASTATIN,ITRACONAZOLE,CYP3A4 inhibition,established,281,87,32.98,1.386,1.067,9.47,3.133,2.814,6.716,11.491,5.887,True,True,core,sensitivity
SIMVASTATIN,GEMFIBROZIL,glucuronidation + OATP1B1,established,1846,369,372.08,-0.012,-0.163,120.11,1.615,1.464,8.725,11.491,21.113,True,False,core,sensitivity
SIMVASTATIN,CYCLOSPORINE,OATP1B1 + CYP3A4,established,2083,420,148.62,1.496,1.354,58.87,2.824,2.683,6.715,11.491,3.238,True,True,core,sensitivity
SIMVASTATIN,DILTIAZEM,CYP3A4 inhibition,established,6645,262,261.79,0.001,-0.179,182.6,0.52,0.34,6.551,11.491,2.856,True,False,core,sensitivity
SIMVASTATIN,VERAPAMIL,CYP3A4 inhibition,established,2907,118,151.95,-0.363,-0.636,83.62,0.494,0.222,6.104,11.491,3.481,True,False,core,sensitivity
LOVASTATIN,CLARITHROMYCIN,CYP3A4 inhibition,established,73,4,5.42,-0.396,-2.133,1.78,0.981,-0.756,2.896,4.704,8.138,False,False,core,sensitivity
LOVASTATIN,ITRACONAZOLE,CYP3A4 inhibition,established,7,2,0.39,1.496,-1.093,0.14,1.97,-0.619,2.23,4.704,5.887,False,False,core,sensitivity
ATORVASTATIN,CLARITHROMYCIN,CYP3A4 inhibition,established,1922,89,171.43,-0.942,-1.257,53.72,0.723,0.408,5.203,6.439,8.138,True,False,core,sensitivity
ATORVASTATIN,GEMFIBROZIL,OATP1B1 + glucuronidation,probable,1928,78,302.55,-1.949,-2.287,105.39,-0.432,-0.77,6.053,6.439,21.113,False,False,core,sensitivity
ROSUVASTATIN,GEMFIBROZIL,OATP1B1 inhibition,established,702,52,183.72,-1.811,-2.23,43.38,0.259,-0.16,6.041,9.903,21.113,False,False,core,sensitivity
ROSUVASTATIN,CYCLOSPORINE,OATP1B1 + BCRP,established,1524,63,95.85,-0.602,-0.98,38.09,0.718,0.34,4.271,9.903,3.238,True,False,core,sensitivity
COLCHICINE,CLARITHROMYCIN,CYP3A4 + P-gp,established,400,48,58.53,-0.284,-0.721,15.23,1.625,1.187,6.319,11.356,8.138,True,False,core,sensitivity
COLCHICINE,CYCLOSPORINE,P-gp inhibition,established,893,112,58.66,0.927,0.647,24.99,2.142,1.862,7.037,11.356,3.238,True,True,core,sensitivity
COLCHICINE,ATORVASTATIN,CYP3A4 + P-gp,probable,3201,178,298.3,-0.743,-0.963,110.67,0.683,0.463,6.61,11.356,6.439,True,False,core,sensitivity
