drug_a,drug_b
ATAZANAVIR,FELODIPINE
ATAZANAVIR,FLUCONAZOLE
ATAZANAVIR,FLUTICASONE
ATAZANAVIR,GLECAPREVIR
ATAZANAVIR,IRINOTECAN
ATAZANAVIR,ITRACONAZOLE
ATAZANAVIR,KETOCONAZOLE
ATAZANAVIR,LAMIVUDINE
ATAZANAVIR,LAMOTRIGINE
ATAZANAVIR,LIDOCAINE
ATAZANAVIR,LOPINAVIR
ATAZANAVIR,LOVASTATIN
ATAZANAVIR,LURASIDONE
ATAZANAVIR,METHADONE
ATAZANAVIR,MIDAZOLAM
ATAZANAVIR,NEVIRAPINE
ATAZANAVIR,NICARDIPINE
ATAZANAVIR,NIFEDIPINE
ATAZANAVIR,OMEPRAZOLE
ATAZANAVIR,PACLITAXEL
ATAZANAVIR,PHENOBARBITAL
ATAZANAVIR,PHENYTOIN
ATAZANAVIR,PIBRENTASVIR
ATAZANAVIR,QUETIAPINE
ATAZANAVIR,REPAGLINIDE
ATAZANAVIR,RIFAMPIN
ATAZANAVIR,RITONAVIR
ATAZANAVIR,RIVAROXABAN
ATAZANAVIR,ROSUVASTATIN
ATAZANAVIR,SALMETEROL
ATAZANAVIR,SILDENAFIL
ATAZANAVIR,SIMVASTATIN
ATAZANAVIR,SIROLIMUS
ATAZANAVIR,SOFOSBUVIR
ATAZANAVIR,TACROLIMUS
ATAZANAVIR,TADALAFIL
ATAZANAVIR,TENOFOVIR
ATAZANAVIR,TENOFOVIR DISOPROXIL
ATAZANAVIR,TICAGRELOR
ATAZANAVIR,TRAZODONE
ATAZANAVIR,TRIAZOLAM
ATAZANAVIR,VELPATASVIR
ATAZANAVIR,VERAPAMIL
ATAZANAVIR,VORICONAZOLE
ATAZANAVIR,WARFARIN
ATAZANAVIR,ZIDOVUDINE
AMIODARONE,ATENOLOL
ASPIRIN,ATENOLOL
ATENOLOL,CALCIUM
ATENOLOL,CLONIDINE
ATENOLOL,EPINEPHRINE
ATENOLOL,INDOMETHACIN
ATEZOLIZUMAB,COBIMETINIB
ATEZOLIZUMAB,PREDNISONE
ATEZOLIZUMAB,VEMURAFENIB
ALBUTEROL,ATOMOXETINE
ALCOHOL,ATOMOXETINE
ATOMOXETINE,DIAZEPAM
ATOMOXETINE,DOBUTAMINE
ATOMOXETINE,DOPAMINE
ATOMOXETINE,FLUOXETINE
ATOMOXETINE,MAGNESIUM
ATOMOXETINE,METHYLPHENIDATE
ATOMOXETINE,MIDAZOLAM
ATOMOXETINE,OMEPRAZOLE
ATOMOXETINE,PAROXETINE
ATOMOXETINE,PHENYTOIN
ATOMOXETINE,WARFARIN
ALCOHOL,ATORVASTATIN
ATORVASTATIN,CALCIUM
ATORVASTATIN,CLARITHROMYCIN
ATORVASTATIN,COLCHICINE
ATORVASTATIN,CYCLOSPORINE
ATORVASTATIN,DARUNAVIR
ATORVASTATIN,DIGOXIN
ATORVASTATIN,ERYTHROMYCIN
ATORVASTATIN,ETHINYL ESTRADIOL
ATORVASTATIN,FOSAMPRENAVIR
ATORVASTATIN,GEMFIBROZIL
ATORVASTATIN,GLECAPREVIR
ATORVASTATIN,ITRACONAZOLE
ATORVASTATIN,KETOCONAZOLE
ATORVASTATIN,LEDIPASVIR
ATORVASTATIN,LOPINAVIR
ATORVASTATIN,NIACIN
ATORVASTATIN,PIBRENTASVIR
ATORVASTATIN,POSACONAZOLE
ATORVASTATIN,RIFAMPIN
ATORVASTATIN,RITONAVIR
ATORVASTATIN,SIMEPREVIR
ATORVASTATIN,SOFOSBUVIR
ATORVASTATIN,VORICONAZOLE
ATOVAQUONE,METOCLOPRAMIDE
ATOVAQUONE,RIFAMPIN
ALCOHOL,ATRACURIUM
ATRACURIUM,ISOFLURANE
ATRACURIUM,LITHIUM
ATRACURIUM,MAGNESIUM
ATRACURIUM,SUCCINYLCHOLINE
ATROPINE,METOCLOPRAMIDE
ATROPINE,OXYGEN
AXITINIB,BOSENTAN
AXITINIB,CARBAMAZEPINE
AXITINIB,DEXAMETHASONE
AXITINIB,EFAVIRENZ
AXITINIB,ETRAVIRINE
AXITINIB,KETOCONAZOLE
AXITINIB,MODAFINIL
AXITINIB,PEMBROLIZUMAB
AXITINIB,PHENOBARBITAL
AXITINIB,PHENYTOIN
AXITINIB,RIFAMPIN
AXITINIB,SORAFENIB
ALLOPURINOL,AZACITIDINE
AZACITIDINE,ETOPOSIDE
AZACITIDINE,POTASSIUM
AZATHIOPRINE,CYCLOPHOSPHAMIDE
AZATHIOPRINE,FEBUXOSTAT
AZATHIOPRINE,MELPHALAN
AZATHIOPRINE,RIBAVIRIN
AZATHIOPRINE,WARFARIN
AMIODARONE,AZITHROMYCIN
AMOXICILLIN,AZITHROMYCIN
AZITHROMYCIN,COLCHICINE
AZITHROMYCIN,DIGOXIN
AZITHROMYCIN,ERYTHROMYCIN
AZITHROMYCIN,PHENYTOIN
AZITHROMYCIN,SOTALOL
AZITHROMYCIN,WARFARIN
BALOXAVIR MARBOXIL,CALCIUM
BALOXAVIR MARBOXIL,MAGNESIUM
AZATHIOPRINE,BASILIXIMAB
BASILIXIMAB,CYCLOSPORINE
BASILIXIMAB,MYCOPHENOLATE
BASILIXIMAB,MYCOPHENOLATE MOFETIL
BASILIXIMAB,BELATACEPT
BELATACEPT,CYCLOSPORINE
BELATACEPT,MYCOPHENOLATE
BELATACEPT,MYCOPHENOLATE MOFETIL
BELATACEPT,MYCOPHENOLIC ACID
BELATACEPT,TACROLIMUS
BEMPEDOIC ACID,CHOLESTYRAMINE
BEMPEDOIC ACID,CYCLOSPORINE
BEMPEDOIC ACID,EZETIMIBE
BEMPEDOIC ACID,FENOFIBRATE
BEMPEDOIC ACID,PRAVASTATIN
BEMPEDOIC ACID,SIMVASTATIN
ALISKIREN,BENAZEPRIL
BENAZEPRIL,EVEROLIMUS
BENAZEPRIL,LITHIUM
BENAZEPRIL,POTASSIUM
BENAZEPRIL,SACUBITRIL
BENAZEPRIL,SIROLIMUS
BENAZEPRIL,SPIRONOLACTONE
BENAZEPRIL,VALSARTAN
BENDAMUSTINE,POTASSIUM
BENDAMUSTINE,RITUXIMAB
ATROPINE,BENZTROPINE
BENZTROPINE,HALOPERIDOL
BEVACIZUMAB,CARBOPLATIN
BEVACIZUMAB,EPINEPHRINE
BEVACIZUMAB,IRINOTECAN
BEVACIZUMAB,OXYGEN
BEVACIZUMAB,PACLITAXEL
BICALUTAMIDE,LEUPROLIDE
BICALUTAMIDE,MIDAZOLAM
ACYCLOVIR,BICTEGRAVIR
BICTEGRAVIR,CALCIUM
BICTEGRAVIR,CARBAMAZEPINE
BICTEGRAVIR,EMTRICITABINE
BICTEGRAVIR,ETHINYL ESTRADIOL
BICTEGRAVIR,GANCICLOVIR
BICTEGRAVIR,GENTAMICIN
BICTEGRAVIR,LEDIPASVIR
BICTEGRAVIR,METFORMIN
BICTEGRAVIR,MIDAZOLAM
BICTEGRAVIR,OXCARBAZEPINE
BICTEGRAVIR,PHENOBARBITAL
BICTEGRAVIR,PHENYTOIN
BICTEGRAVIR,RIFAMPIN
BICTEGRAVIR,SERTRALINE
BICTEGRAVIR,SOFOSBUVIR
BICTEGRAVIR,TENOFOVIR
BICTEGRAVIR,TENOFOVIR DISOPROXIL
BICTEGRAVIR,VALACYCLOVIR
BICTEGRAVIR,VALGANCICLOVIR
BICTEGRAVIR,VELPATASVIR
BINIMETINIB,ENCORAFENIB
BORTEZOMIB,CYCLOPHOSPHAMIDE
BORTEZOMIB,CYTARABINE
BORTEZOMIB,DAUNORUBICIN
BORTEZOMIB,DEXAMETHASONE
BORTEZOMIB,DOXORUBICIN
BORTEZOMIB,MELPHALAN
BORTEZOMIB,OMEPRAZOLE
BORTEZOMIB,PREDNISONE
BORTEZOMIB,RITUXIMAB
BORTEZOMIB,VINCRISTINE
ARIPIPRAZOLE,BREXPIPRAZOLE
BREXPIPRAZOLE,BUPROPION
BREXPIPRAZOLE,DEXTROMETHORPHAN
BREXPIPRAZOLE,FEXOFENADINE
BREXPIPRAZOLE,FLUOXETINE
BREXPIPRAZOLE,LOVASTATIN
BREXPIPRAZOLE,OLANZAPINE
BREXPIPRAZOLE,OMEPRAZOLE
BREXPIPRAZOLE,PAROXETINE
BREXPIPRAZOLE,RISPERIDONE
BREXPIPRAZOLE,ROSUVASTATIN
BRIVARACETAM,CARBAMAZEPINE
BRIVARACETAM,LEVETIRACETAM
BRIVARACETAM,PHENYTOIN
BRIVARACETAM,RIFAMPIN
ACETAMINOPHEN,BUPIVACAINE
AMPHOTERICIN B,BUPIVACAINE
ASPIRIN,BUPIVACAINE
BUPIVACAINE,CARBAMAZEPINE
BUPIVACAINE,CHLOROQUINE
BUPIVACAINE,CHOLESTYRAMINE
BUPIVACAINE,CYCLOPHOSPHAMIDE
BUPIVACAINE,CYCLOSPORINE
BUPIVACAINE,EPINEPHRINE
BUPIVACAINE,ERYTHROMYCIN
BUPIVACAINE,HYDROCORTISONE
BUPIVACAINE,ISONIAZID
BUPIVACAINE,KETOCONAZOLE
BUPIVACAINE,LIDOCAINE
BUPIVACAINE,METHYLENE BLUE
BUPIVACAINE,METHYLPREDNISOLONE
BUPIVACAINE,METOCLOPRAMIDE
BUPIVACAINE,NITROFURANTOIN
BUPIVACAINE,NITROGLYCERIN
BUPIVACAINE,NOREPINEPHRINE
BUPIVACAINE,OXYGEN
BUPIVACAINE,PHENOBARBITAL
BUPIVACAINE,PHENYTOIN
BUPIVACAINE,POTASSIUM
BUPIVACAINE,QUININE
BUPIVACAINE,RIFAMPIN
BUPIVACAINE,SULFASALAZINE
BUPIVACAINE,VALPROATE
BUPIVACAINE,WARFARIN
ALCOHOL,BUPRENORPHINE
BENZODIAZEPINE,BUPRENORPHINE
BUPRENORPHINE,CARBAMAZEPINE
BUPRENORPHINE,CYCLOBENZAPRINE
BUPRENORPHINE,EFAVIRENZ
BUPRENORPHINE,ERYTHROMYCIN
BUPRENORPHINE,ETRAVIRINE
BUPRENORPHINE,KETOCONAZOLE
BUPRENORPHINE,LINEZOLID
BUPRENORPHINE,LOPINAVIR
BUPRENORPHINE,METHYLENE BLUE
BUPRENORPHINE,MIRTAZAPINE
BUPRENORPHINE,NALOXONE
BUPRENORPHINE,NEVIRAPINE
BUPRENORPHINE,NOREPINEPHRINE
BUPRENORPHINE,PHENYTOIN
BUPRENORPHINE,RIFAMPIN
BUPRENORPHINE,RITONAVIR
BUPRENORPHINE,TRAMADOL
BUPRENORPHINE,TRAZODONE
ALCOHOL,BUPROPION
AMANTADINE,BUPROPION
BUPROPION,CARBAMAZEPINE
BUPROPION,CLOPIDOGREL
BUPROPION,COCAINE
BUPROPION,DOPAMINE
BUPROPION,EFAVIRENZ
BUPROPION,FLUOXETINE
BUPROPION,HALOPERIDOL
BUPROPION,IMIPRAMINE
BUPROPION,LEVODOPA
BUPROPION,LINEZOLID
BUPROPION,LOPINAVIR
BUPROPION,METHYLENE BLUE
BUPROPION,METOPROLOL
BUPROPION,NICOTINE
BUPROPION,NOREPINEPHRINE
BUPROPION,NORTRIPTYLINE
BUPROPION,PAROXETINE
BUPROPION,PHENOBARBITAL
BUPROPION,PHENYTOIN
BUPROPION,PROPAFENONE
BUPROPION,RISPERIDONE
BUPROPION,RITONAVIR
BUPROPION,SERTRALINE
BUPROPION,TAMOXIFEN
BUPROPION,THEOPHYLLINE
BUPROPION,VENLAFAXINE
BUSPIRONE,LINEZOLID
BUSPIRONE,METHYLENE BLUE
ACETAMINOPHEN,BUSULFAN
BUSULFAN,CYCLOPHOSPHAMIDE
BUSULFAN,DEFERASIROX
BUSULFAN,FILGRASTIM
BUSULFAN,FLUCONAZOLE
BUSULFAN,ITRACONAZOLE
BUSULFAN,LEVETIRACETAM
BUSULFAN,METRONIDAZOLE
BUSULFAN,PHENYTOIN
BUSULFAN,VALPROIC ACID
ACETAMINOPHEN,BUTALBITAL
ALCOHOL,BUTALBITAL
BUTALBITAL,CAFFEINE
BUTALBITAL,CHLORDIAZEPOXIDE
ACETAMINOPHEN,CABOTEGRAVIR
ATAZANAVIR,CABOTEGRAVIR
ATORVASTATIN,CABOTEGRAVIR
AZITHROMYCIN,CABOTEGRAVIR
CABOTEGRAVIR,CARBAMAZEPINE
CABOTEGRAVIR,CLARITHROMYCIN
CABOTEGRAVIR,DARUNAVIR
CABOTEGRAVIR,DEXAMETHASONE
CABOTEGRAVIR,DIGOXIN
CABOTEGRAVIR,DOLUTEGRAVIR
CABOTEGRAVIR,ERYTHROMYCIN
CABOTEGRAVIR,ETHINYL ESTRADIOL
CABOTEGRAVIR,ETRAVIRINE
CABOTEGRAVIR,METFORMIN
CABOTEGRAVIR,METHADONE
CABOTEGRAVIR,MIDAZOLAM
CABOTEGRAVIR,OXCARBAZEPINE
CABOTEGRAVIR,PHENOBARBITAL
CABOTEGRAVIR,PHENYTOIN
CABOTEGRAVIR,RALTEGRAVIR
CABOTEGRAVIR,RIFAMPIN
CABOTEGRAVIR,RILPIVIRINE
CABOTEGRAVIR,RITONAVIR
CABOTEGRAVIR,SILDENAFIL
CABOTEGRAVIR,TENOFOVIR
CABOTEGRAVIR,TENOFOVIR ALAFENAMIDE
CABOTEGRAVIR,TENOFOVIR DISOPROXIL
CALCIUM,CIPROFLOXACIN
CALCIUM,CALCIUM CHLORIDE
CALCIUM CHLORIDE,CEFTRIAXONE
CALCIUM CHLORIDE,DIGOXIN
CALCIUM CHLORIDE,LITHIUM
CALCIUM CHLORIDE,POTASSIUM
CALCIUM CHLORIDE,VASOPRESSIN
ALCOHOL,CANAGLIFLOZIN
CANAGLIFLOZIN,DIGOXIN
CANAGLIFLOZIN,LITHIUM
CANAGLIFLOZIN,PHENOBARBITAL
CANAGLIFLOZIN,PHENYTOIN
CANAGLIFLOZIN,RIFAMPIN
CANAGLIFLOZIN,RITONAVIR
ALISKIREN,CANDESARTAN
CANDESARTAN,CANDESARTAN CILEXETIL
CANDESARTAN,LITHIUM
CANDESARTAN,POTASSIUM
ALISKIREN,CANDESARTAN CILEXETIL
CANDESARTAN CILEXETIL,LITHIUM
CANDESARTAN CILEXETIL,POTASSIUM
CAPECITABINE,DOCETAXEL
CAPECITABINE,FLUOROURACIL
CAPECITABINE,FOLIC ACID
CAPECITABINE,IRINOTECAN
CAPECITABINE,LEUCOVORIN
CAPECITABINE,METHOTREXATE
CAPECITABINE,PHENYTOIN
CAPECITABINE,WARFARIN
ACETAMINOPHEN,CARBAMAZEPINE
ACETAZOLAMIDE,CARBAMAZEPINE
ALCOHOL,CARBAMAZEPINE
AMITRIPTYLINE,CARBAMAZEPINE
CALCIUM,CARBAMAZEPINE
CARBAMAZEPINE,CHLORPROMAZINE
CARBAMAZEPINE,CIPROFLOXACIN
CARBAMAZEPINE,CISATRACURIUM
CARBAMAZEPINE,CISPLATIN
CARBAMAZEPINE,CITALOPRAM
